BOWLING_ODIs_Mat,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BATTING_ODIs_Mat,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_ODIs_4s,BATTING_ODIs_6s,BATTING_ODIs_Ct,BATTING_ODIs_St,Playing role,NAME,COUNTRY,ID
4.0,-,-,-,-,-,-,-,-,4.0,2,48,19*,24,68,70.58,0,0,3,0,1.0,1.0,Wicketkeeper batsman,Zulqarnain Haider,Pakistan,43860
12.0,535,506,25,20.24,5.67,21.4,0,1,12.0,3,33,16,6.6,54,61.11,0,0,4,2,2.0,0.0,Bowler,Zahoor Khan,United Arab Emirates,384525
2.0,120,98,6,16.33,4.9,20,0,0,2.0,2,11,6*,-,20,55,0,0,2,0,0.0,0.0,Bowler,Zahid Shah,United Arab Emirates,43735
2.0,120,116,4,29,5.8,30,0,0,2.0,2,13,8*,-,46,28.26,0,0,2,0,0.0,0.0,Bowler,Zaheer Maqsood,United Arab Emirates,43776
4.0,42,28,2,14,4,21,0,0,4.0,1,61,33,20.33,108,56.48,0,0,5,0,3.0,0.0,Middle-order batsman,Dominic Wesonga,Kenya,315051
20.0,18,14,0,-,4.66,-,0,0,20.0,0,419,74,20.95,751,55.79,0,2,48,2,5.0,0.0,Opening batsman,Seren Waters,Kenya,352894
1.0,36,56,1,56,9.33,36,0,0,1.0,1,26,26*,-,54,48.14,0,0,2,0,0.0,0.0,Allrounder,Zain Abbas,Hong Kong,291088
57.0,-,-,-,-,-,-,-,-,57.0,10,1097,77*,23.84,1873,58.56,0,8,92,9,26.0,0.0,Middle-order batsman,Bas Zuiderent,Netherlands,24990
9.0,19,21,0,-,6.63,-,0,0,9.0,0,154,45,17.11,132,116.66,0,0,18,9,1.0,0.0,Batsman,Cephas Zhuwao,Zimbabwe,235532
5.0,294,246,4,61.5,5.02,73.5,0,0,5.0,3,35,14*,17.5,40,87.5,0,0,2,1,0.0,0.0,Bowler,Zulfiqar Babar,Pakistan,43871
8.0,198,137,3,45.66,4.15,66,0,0,8.0,0,48,18,8,62,77.41,0,0,2,1,1.0,0.0,Allrounder,Zafar Iqbal,Pakistan,43692
1.0,60,54,2,27,5.4,30,0,0,1.0,0,15,15,15,15,100,0,0,0,1,0.0,0.0,Bowler,Zafar Gohar,Pakistan,348154
10.0,-,-,-,-,-,-,-,-,10.0,0,233,83,23.3,252,92.46,0,1,28,5,9.0,2.0,Wicketkeeper batsman,Phil Mustard,England,17185
217.0,-,-,-,-,-,-,-,-,217.0,29,6813,124*,39.15,7592,89.73,12,43,575,182,77.0,0.0,Middle-order batsman,Eoin Morgan,England,24598
5.0,-,-,-,-,-,-,-,-,5.0,1,142,54,35.5,224,63.39,0,1,8,3,1.0,0.0,Batsman,Khaya Zondo,South Africa,318842
3.0,-,-,-,-,-,-,-,-,3.0,0,165,106,55,203,81.28,1,0,12,3,1.0,0.0,Top-order batsman,Michael Lumb,England,16406
7.0,-,-,-,-,-,-,-,-,7.0,0,142,45,20.28,184,77.17,0,0,19,5,0.0,0.0,Opening batsman,Mal Loye,England,16362
40.0,2050,1910,53,36.03,5.59,38.6,0,0,40.0,4,99,22,7.07,156,63.46,0,0,6,1,9.0,0.0,Bowler,Adam Zampa,Australia,379504
100.0,-,-,-,-,-,-,-,-,100.0,10,3637,125*,40.41,5085,71.52,5,25,327,21,44.0,0.0,Opening batsman,Nick Knight,England,15913
2.0,114,110,2,55,5.78,57,0,0,2.0,0,2,1,1,16,12.5,0,0,0,0,0.0,0.0,Bowler,Stuart Meaker,England,297634
92.0,1535,1101,44,25.02,4.3,34.8,1,1,92.0,21,2503,106,37.35,3596,69.6,1,17,226,13,31.0,0.0,Middle-order batsman,Heather Knight,England,358259
8.0,12,3,1,3,1.5,12,0,0,8.0,1,285,116*,40.71,526,54.18,1,0,25,1,3.0,0.0,Allrounder,David Lloyd,England,16318
46.0,-,-,-,-,-,-,-,-,46.0,5,1054,107,30.11,1172,89.93,1,5,106,32,53.0,12.0,Opening batsman,Craig Kieswetter,England,230855
20.0,822,634,13,48.76,4.62,63.2,0,0,20.0,2,245,52,22.27,257,95.33,0,1,12,13,4.0,0.0,Allrounder,Dimitri Mascarenhas,England,16932
20.0,1048,806,27,29.85,4.61,38.8,1,0,20.0,7,38,6,6.33,53,71.69,0,0,3,0,1.0,0.0,Bowler,Peter Martin,England,16925
98.0,5082,3300,121,27.27,3.89,42,3,1,98.0,11,629,67,13.67,939,66.98,0,1,55,1,24.0,0.0,Opening batsman,Laura Marsh,England,249934
4.0,186,94,2,47,3.03,93,0,0,4.0,1,21,21,21,21,100,0,0,2,0,2.0,0.0,Bowler,Beth Langston,England,469888
23.0,402,384,9,42.66,5.73,44.6,0,0,23.0,0,734,114,33.36,952,77.1,1,3,62,7,4.0,0.0,Top-order batsman,Matt Machan,England,297488
19.0,-,-,-,-,-,-,-,-,19.0,4,297,49,21.21,347,85.59,0,0,21,7,20.0,3.0,Top-order batsman,Paul Nixon,England,18023
